,Participant_Code,Event_Type,Event1,Event2,Correlations_alt,Correlations_true,Sections1,Sections2
199,ADQ046,Speech,Speech 2,Speech 7,-0.001071649192091385,-0.009035837768466138,Speech,Speech
200,ADQ049,Speech,Speech 2,Speech 7,0.012931994363778681,0.01300634966731182,Speech,Speech
201,ADQ057,Speech,Speech 2,Speech 7,0.005172569090521071,0.029804582878495276,Speech,Speech
202,ADR069,Speech,Speech 2,Speech 7,0.024417679127611416,0.02717676391527178,Speech,Speech
203,ADQ043,Speech,Speech 2,Speech 7,0.03279901695547255,0.024276539071314118,Speech,Speech
204,ADQ042,Speech,Speech 2,Speech 7,-0.006932188952636565,-0.021736804306672665,Speech,Speech
205,ADQ053,Speech,Speech 2,Speech 7,0.00899437331380288,0.006535820849688588,Speech,Speech
206,ADR070,Speech,Speech 2,Speech 7,0.03457184316339255,0.028590230208936286,Speech,Speech
207,AEQ089,Speech,Speech 2,Speech 7,0.0025759154224021343,0.005471904619000339,Speech,Speech
208,ADQ064,Speech,Speech 2,Speech 7,0.022579356862399143,0.005490537927572061,Speech,Speech
209,ADR068,Speech,Speech 2,Speech 7,0.02503591287816648,0.022157790400149716,Speech,Speech
210,ADQ048,Speech,Speech 2,Speech 7,-0.018048313308590115,-0.012369577993161655,Speech,Speech
211,ADQ051,Speech,Speech 2,Speech 7,0.007308077235684855,0.023317424608537866,Speech,Speech
212,ADQ063,Speech,Speech 2,Speech 7,-0.014718242494926068,0.03153992300765783,Speech,Speech
213,ADQ041,Speech,Speech 2,Speech 7,0.027767738255505575,0.014296418361463174,Speech,Speech
214,ADQ005,Speech,Speech 2,Speech 7,-0.015091740913577187,0.013836067352644718,Speech,Speech
215,ADQ027,Speech,Speech 2,Speech 7,-0.015403942425538993,0.007973986202425227,Speech,Speech
216,ADQ004,Speech,Speech 2,Speech 7,0.0073411571073146486,0.01672522253740947,Speech,Speech
217,ADQ038,Speech,Speech 2,Speech 7,0.015037985384494402,-0.0076767548569701225,Speech,Speech
218,AEQ087,Speech,Speech 2,Speech 7,0.005270699981756144,0.0008971541187270686,Speech,Speech
219,AEQ079,Speech,Speech 2,Speech 7,0.0105523736695314,0.012212091288776336,Speech,Speech
220,ADQ029,Speech,Speech 2,Speech 7,-0.017259629486977218,-0.008098108134050054,Speech,Speech
221,ADQ025,Speech,Speech 2,Speech 7,-0.004898853435457711,0.02256041906066474,Speech,Speech
222,ADQ058,Speech,Speech 2,Speech 7,0.038045527101896126,-0.017387278046519218,Speech,Speech
223,ADQ044,Speech,Speech 2,Speech 7,0.017241628534706177,0.030687934701823783,Speech,Speech
224,ADQ035,Speech,Speech 2,Speech 7,0.01822613081237082,-0.009580981615199002,Speech,Speech
225,ADQ036,Speech,Speech 2,Speech 7,0.004447832193518633,0.004482212624241123,Speech,Speech
226,AEQ088,Speech,Speech 2,Speech 7,-0.0029228535006938605,0.020227095537105493,Speech,Speech
227,AEQ081,Speech,Speech 2,Speech 7,0.0076315403270563265,-0.011639607400700417,Speech,Speech
228,ADQ003,Speech,Speech 2,Speech 7,0.052564603976159266,0.028936391184152893,Speech,Speech
229,ADQ028,Speech,Speech 2,Speech 7,-0.0010885687320554538,0.007647792927889385,Speech,Speech
230,ADQ033,Speech,Speech 2,Speech 7,0.019304770125143873,-0.005071792290836664,Speech,Speech
